round_no, 20
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=0.729s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=102.31.117.84,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.794s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=39.150.66.115,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.067s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=221.103.201.252,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.056s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=176.175.1.8,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.853s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=183.6.35.67,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.204s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=228.196.166.230,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.366s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=177.51.206.167,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.488s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=68.238.66.106,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.826s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=12.178.217.150,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.201s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=199.10.64.62,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.423s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=116.150.55.78,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.357s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=20.216.76.234,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.466s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=213.243.251.99,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=0.237s, table=0, n_packets=1, n_bytes=42, idle_timeout=60, idle_age=0, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=86:a6:09:ec:08:a1,dl_dst=12:50:f2:1b:be:ff,nw_src=110.134.225.82,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
