round_no, 1
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2.871s, table=0, n_packets=6, n_bytes=402, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=2,vlan_tci=0x0000,dl_src=0e:c5:06:cb:ad:47,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=46558 actions=output:1
 cookie=0x0, duration=1.215s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=c6:ce:98:87:f7:03,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=43006,tp_dst=9000 actions=output:7
round_no, 3
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1.218s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=49676,tp_dst=9000 actions=output:6
 cookie=0x0, duration=3.007s, table=0, n_packets=43, n_bytes=63769, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=38683,tp_dst=8999 actions=output:5
 cookie=0x0, duration=3.006s, table=0, n_packets=44, n_bytes=65252, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=52740,tp_dst=8999 actions=output:8
 cookie=0x0, duration=1.219s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=1e:99:e0:6c:f8:b5,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.8,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42998 actions=output:1
 cookie=0x0, duration=1.208s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=2,vlan_tci=0x0000,dl_src=0e:c5:06:cb:ad:47,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=46596 actions=output:1
 cookie=0x0, duration=2.916s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48700,tp_dst=9000 actions=output:4
 cookie=0x0, duration=3.005s, table=0, n_packets=44, n_bytes=65252, idle_timeout=60, idle_age=2, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=44038,tp_dst=8999 actions=output:4
 cookie=0x0, duration=1.212s, table=0, n_packets=6, n_bytes=432, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=56474,tp_dst=9000 actions=output:5
 cookie=0x0, duration=2.915s, table=0, n_packets=4, n_bytes=270, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=49662,tp_dst=9000 actions=output:6
